sale_id,date,medicine_name,quantity_sold,price_per_unit,total_amount,city,store_id
43,2025-02-21,Metformin,1,86.91,86.91,Bangalore,1009
44,2025-01-18,Aspirin,14,114.38,1601.32,Pune,1001
45,2025-02-18,Omeprazole,12,458.08,5496.96,Pune,1008
46,2025-03-04,Omeprazole,8,42.01,336.08,Delhi,1001
47,2025-01-18,Amoxicillin,6,456.38,2738.28,Mumbai,1004
48,2025-02-12,Losartan,17,422.15,7176.55,Bangalore,1005
49,2025-02-13,Ibuprofen,10,125.24,1252.4,Hyderabad,1007
50,2025-01-18,Losartan,18,387.42,6973.56,Bangalore,1000
51,2025-02-22,Ibuprofen,13,434.42,5647.46,Mumbai,1002
52,2025-02-13,Ibuprofen,20,297.83,5956.6,Chennai,1001
53,2025-03-15,Omeprazole,8,287.32,2298.56,Bangalore,1005
54,2025-02-07,Losartan,18,463.28,8339.04,Chennai,1004
55,2025-01-14,Paracetamol,10,16.07,160.7,Pune,1000
56,2025-01-12,Azithromycin,4,414.8,1659.2,Delhi,1003
57,2025-01-31,Losartan,14,89.39,1251.46,Chennai,1002
58,2025-03-29,Cetirizine,6,374.56,2247.36,Delhi,1006
59,2025-02-18,Omeprazole,10,279.6,2796.0,Pune,1007
60,2025-02-10,Ibuprofen,7,329.5,2306.5,Delhi,1000
61,2025-01-02,Metformin,20,166.92,3338.4,Chennai,1005
62,2025-02-21,Ibuprofen,3,457.56,1372.68,Hyderabad,1007
63,2025-01-15,Metformin,7,394.72,2763.04,Hyderabad,1007
64,2025-03-26,Aspirin,9,99.78,898.02,Mumbai,1004
65,2025-01-26,Cetirizine,12,49.87,598.44,Bangalore,1001
66,2025-02-27,Ibuprofen,19,325.3,6180.7,Mumbai,1006
67,2025-02-09,Paracetamol,11,101.54,1116.94,Hyderabad,1004
68,2025-02-01,Aspirin,4,276.67,1106.68,Hyderabad,1009
69,2025-01-12,Cetirizine,8,19.98,159.84,Mumbai,1006
70,2025-01-10,Metformin,18,435.1,7831.8,Pune,1001
71,2025-01-03,Paracetamol,10,377.86,3778.6,Bangalore,1007
72,2025-03-02,Amoxicillin,4,255.7,1022.8,Bangalore,1001
73,2025-03-07,Amoxicillin,6,390.34,2342.04,Mumbai,1005
74,2025-02-09,Ibuprofen,17,419.0,7123.0,Hyderabad,1004
75,2025-01-17,Cetirizine,5,277.29,1386.45,Pune,1000
76,2025-02-10,Losartan,18,421.95,7595.1,Pune,1003
77,2025-01-23,Metformin,14,273.37,3827.18,Delhi,1010
78,2025-02-01,Metformin,3,344.22,1032.66,Chennai,1006
79,2025-03-12,Metformin,18,225.31,4055.58,Hyderabad,1007
80,2025-01-02,Azithromycin,11,94.04,1034.44,Chennai,1000
81,2025-03-24,Azithromycin,19,19.27,366.13,Pune,1005
82,2025-03-16,Amoxicillin,19,71.31,1354.89,Bangalore,1004
83,2025-02-20,Losartan,13,94.37,1226.81,Delhi,1003
84,2025-03-04,Paracetamol,6,269.06,1614.36,Hyderabad,1010
85,2025-02-26,Cetirizine,8,163.36,1306.88,Pune,1007
86,2025-01-29,Azithromycin,11,284.6,3130.6,Pune,1010
87,2025-02-05,Cetirizine,2,461.59,923.18,Hyderabad,1010
88,2025-02-17,Amoxicillin,17,385.35,6550.95,Mumbai,1004
89,2025-02-08,Metformin,18,192.09,3457.62,Pune,1007
90,2025-03-18,Ibuprofen,4,449.34,1797.36,Hyderabad,1009
91,2025-02-18,Amoxicillin,5,132.79,663.95,Mumbai,1009
92,2025-01-07,Atorvastatin,13,361.41,4698.33,Bangalore,1006
93,2025-03-07,Amoxicillin,18,367.65,6617.7,Delhi,1008
94,2025-01-12,Metformin,4,141.09,564.36,Delhi,1002
95,2025-03-20,Ibuprofen,15,426.98,6404.7,Mumbai,1006
96,2025-02-25,Azithromycin,6,455.94,2735.64,Chennai,1002
97,2025-03-21,Atorvastatin,7,68.4,478.8,Hyderabad,1008
98,2025-02-22,Ibuprofen,10,146.06,1460.6,Chennai,1008
99,2025-01-01,Cetirizine,17,225.0,3825.0,Delhi,1000
100,2025-03-22,Losartan,8,419.31,3354.48,Mumbai,1002
